0.66	4.93
0.66	10.62
0.73	2.67
0.86	4.13
0.25	16.8
0.61	4.25
0.7	4.62
0.66	7.38
0.7	6.14
0.61	8.9
0.58	4.96
0.4	7.1
0.69	5.32
0.67	6
0.69	3.89
0.84	7.76
0.57	7.56
0.65	4.73
0.68	8
0.54	5.31
0.51	7.31
0.6	4.11
0.58	11.29
0.64	4.37
0.57	6.38
0.68	9.15
0.68	5.01
0.55	7.17
0.65	3.54
0.74	4.55
0.64	9.68
0.6	8.87
0.63	4.9
0.64	9.8
0.62	7.84
0.64	6.51
0.44	4.74
0.59	3.62
0.72	11.39
0.81	5.47
0.57	6.27
0.61	7.04
0.74	6.73
0.65	6.68
0.66	4.99
0.61	9.66
0.44	9.01
0.6	5
0.62	5.89
0.72	11.64
0.59	4.92
0.8	7.74
0.6	7.63
0.79	5.04
0.5	9.31
0.69	3.83
0.63	7.51
0.7	5.39
0.63	5.89
0.71	4.86
0.63	10.29
0.69	7.59
0.56	7.21
0.63	5.41
0.65	5.44
0.55	10.44
0.67	6.82
0.64	8.52
0.7	4.96
0.62	7.67
0.68	7.55
0.46	5.99
0.79	7.67
0.68	2.75
0.69	5.04
0.89	9.52
0.65	7.04
0.63	4.97
0.57	7.47
0.54	7.1
0.5	7.83
0.66	3.36
0.65	6.75
0.68	7.86
0.65	5.95
0.63	8.93
0.54	5.25
0.79	8.23
0.51	5.93
0.68	4.14
0.69	6.32
0.65	6.22
0.64	4.88
0.64	7.65
0.59	8
0.51	6.79
0.48	6.58
0.54	6.18
0.64	3.08
0.84	6.48
0.69	8.5
0.61	6.63
0.63	8.76
0.75	8.29
0.68	5.66
0.54	8.92
0.54	4.35
0.7	9.21
0.63	6.03
0.7	5.97
0.61	6.64
0.8	9.16
0.67	9.07
0.68	6.06
0.73	9.43
0.41	6.94
0.69	6.09
0.64	5.6
0.6	5.01
0.66	7.05
0.68	7.88
0.68	7.45
0.65	6.22
0.78	7.7
0.44	6.57
0.65	6.11
0.54	6.74
0.7	6.8
0.64	6.8
0.71	7.56
0.69	8.02
0.64	7.32
0.54	6.25
0.3	5.67
