0.21	1.47
0.25	1.34
0.25	1.39
0.22	1.39
0.23	1.47
0.25	1.43
0.22	1.51
0.21	1.46
0.24	1.44
0.21	1.38
0.18	1.35
0.22	1.5
0.26	1.51
0.21	1.36
0.26	1.57
0.24	1.51
0.25	1.5
0.25	1.46
0.23	1.5
0.26	1.53
0.21	1.35
0.24	1.53
0.22	1.36
0.22	1.42
0.21	1.49
0.22	1.37
0.25	1.47
0.23	1.47
0.26	1.54
0.23	1.45
0.25	1.47
0.24	1.41
0.24	1.5
0.21	1.46
0.22	1.47
0.25	1.49
0.21	1.39
0.22	1.52
0.22	1.49
0.22	1.51
0.22	1.44
0.25	1.48
0.24	1.55
0.23	1.52
0.2	1.4
0.24	1.56
0.25	1.45
0.23	1.49
0.22	1.5
0.21	1.48
0.23	1.44
0.21	1.38
0.25	1.65
0.24	1.5
0.22	1.55
0.26	1.53
0.25	1.54
0.25	1.54
0.27	1.6
0.29	1.61
0.25	1.55
0.25	1.61
0.25	1.64
0.25	1.66
0.26	1.56
0.19	1.57
0.22	1.58
0.23	1.59
0.24	1.49
0.23	1.64
0.25	1.62
0.23	1.59
0.24	1.57
0.24	1.57
0.22	1.55
0.23	1.63
0.23	1.46
0.22	1.6
0.2	1.55
0.23	1.48
0.23	1.57
0.23	1.52
0.24	1.5
0.25	1.53
0.24	1.53
0.23	1.5
0.2	1.5
0.21	1.48
0.24	1.43
0.24	1.56
0.25	1.63
0.24	1.62
0.23	1.57
0.24	1.58
0.2	1.5
0.24	1.57
0.24	1.55
0.23	1.65
0.22	1.51
0.24	1.47
0.2	1.49
0.24	1.58
0.22	1.44
0.25	1.69
0.23	1.46
0.26	1.61
0.2	1.43
0.23	1.55
0.22	1.53
0.21	1.45
0.25	1.57
0.24	1.57
0.21	1.45
0.25	1.54
0.21	1.45
0.23	1.6
0.24	1.57
0.27	1.55
0.23	1.41
0.21	1.51
0.23	1.54
0.22	1.57
0.23	1.5
0.23	1.64
0.24	1.5
0.23	1.38
0.24	1.51
0.25	1.51
0.24	1.47
0.22	1.56
0.24	1.52
0.23	1.49
0.22	1.48
0.25	1.61
0.22	1.57
0.22	1.47
0.21	1.56
0.26	1.69
0.23	1.49
0.22	1.58
0.24	1.53
0.28	1.51
0.28	1.57
0.21	1.59
0.2	1.57
0.26	1.64
0.23	1.64
0.23	1.51
0.26	1.51
0.25	1.57
0.24	1.61
0.24	1.65
0.23	1.62
0.25	1.61
0.25	1.59
0.24	1.6
0.22	1.47
0.22	1.55
0.24	1.51
0.27	1.65
0.23	1.5
0.25	1.56
0.23	1.62
0.22	1.57
0.22	1.48
0.27	1.55
0.27	1.54
0.22	1.52
0.24	1.5
0.25	1.64
0.23	1.53
0.28	1.67
0.23	1.46
0.25	1.66
0.25	1.54
0.23	1.49
0.24	1.58
0.27	1.62
0.2	1.53
0.23	1.53
0.25	1.61
0.24	1.54
0.24	1.58
0.24	1.66
0.23	1.58
0.26	1.69
0.22	1.62
0.22	1.58
0.24	1.45
0.25	1.52
0.22	1.58
0.23	1.4
0.24	1.56
0.25	1.55
0.21	1.48
0.22	1.65
0.24	1.56
0.23	1.5
0.21	1.4
0.21	1.59
0.25	1.55
0.21	1.47
0.23	1.68
0.23	1.49
0.22	1.44
0.23	1.63
0.27	1.56
0.26	1.61
0.25	1.62
0.21	1.51
0.22	1.52
0.23	1.61
0.25	1.53
0.25	1.6
0.21	1.47
0.22	1.49
0.21	1.6
0.24	1.58
0.24	1.59
0.22	1.48
0.22	1.57
0.26	1.58
0.24	1.56
0.28	1.68
0.19	1.56
0.2	1.5
0.25	1.55
0.26	1.64
0.22	1.58
0.24	1.52
0.27	1.49
0.21	1.56
0.26	1.57
0.22	1.57
0.24	1.58
0.23	1.49
0.23	1.5
0.19	1.46
0.23	1.56
0.23	1.59
0.25	1.6
0.26	1.57
0.23	1.48
0.25	1.65
0.23	1.48
0.24	1.54
0.25	1.66
0.23	1.58
0.23	1.57
0.26	1.63
0.25	1.53
0.27	1.56
0.21	1.55
0.23	1.49
0.21	1.66
0.23	1.54
0.22	1.6
0.2	1.45
0.24	1.57
0.26	1.67
0.24	1.59
0.22	1.59
0.21	1.51
0.23	1.47
0.21	1.6
0.24	1.61
0.24	1.56
0.24	1.63
0.24	1.6
0.23	1.43
0.25	1.55
0.24	1.66
0.22	1.59
0.23	1.67
0.24	1.43
0.22	1.47
0.21	1.42
0.25	1.62
0.22	1.65
0.24	1.58
0.22	1.53
0.23	1.55
0.22	1.54
0.25	1.67
0.24	1.69
0.26	1.67
0.21	1.59
0.25	1.66
0.22	1.61
0.22	1.51
0.23	1.5
0.26	1.55
0.21	1.52
0.21	1.48
0.22	1.63
0.19	1.53
0.24	1.48
0.25	1.56
0.25	1.61
0.21	1.44
0.21	1.58
0.22	1.54
0.23	1.59
0.22	1.53
0.23	1.48
